Unnamed: 0,player_api_id,player_name,birthday,team_long_name,team_short_name,id,player_fifa_api_id,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,height,weight,team_api_id,preferred_foot,attacking_work_rate,defensive_work_rate,chanceCreationShooting,chanceCreationShootingClass,favored,avg_defence_stats,defence_player,Mode
3,2752,Diego Mainz,1982-12-29 00:00:00,Granada CF,GRA,44155.0,135819.0,69.38095238095238,70.38095238095238,36.42857142857143,37.42857142857143,75.33333333333333,54.80952380952381,20.428571428571427,44.857142857142854,30.428571428571427,18.857142857142858,59.57142857142857,55.57142857142857,41.61904761904762,42.19047619047619,43.333333333333336,60.857142857142854,44.57142857142857,57.42857142857143,56.523809523809526,60.904761904761905,82.23809523809524,19.571428571428573,80.28571428571429,71.42857142857143,31.428571428571427,52.42857142857143,35.42857142857143,71.0952380952381,70.66666666666667,65.57142857142857,11.095238095238097,6.095238095238095,7.095238095238095,9.095238095238097,15.095238095238097,187.96,174.0,7878.0,right,medium,medium,55,Normal,58,69.1111111111111,Yes,Yes
1143,24099,Hurtado Perez Moises,1981-02-20 00:00:00,Granada CF,GRA,71310.0,110371.0,70.57142857142857,71.42857142857143,42.57142857142857,44.357142857142854,59.142857142857146,69.21428571428571,38.0,55.285714285714285,55.285714285714285,57.5,63.214285714285715,66.14285714285714,45.92857142857143,50.0,38.285714285714285,70.5,65.14285714285714,57.142857142857146,50.357142857142854,68.71428571428571,87.0,42.214285714285715,77.64285714285714,79.5,57.214285714285715,67.07142857142857,53.142857142857146,66.85714285714286,78.21428571428571,65.85714285714286,14.0,13.785714285714286,25.0,12.857142857142858,13.571428571428571,185.42,187.0,7878.0,right,low,medium,55,Normal,58,70.30952380952381,Yes,Yes
1393,24630,Noe Pamarot,1979-04-14 00:00:00,Granada CF,GRA,134430.0,52090.0,70.2,72.66666666666667,49.4,39.666666666666664,69.53333333333333,58.666666666666664,35.666666666666664,48.4,26.2,37.666666666666664,55.266666666666666,59.93333333333333,56.666666666666664,58.13333333333333,51.333333333333336,61.733333333333334,65.46666666666667,67.06666666666666,75.73333333333333,61.666666666666664,84.66666666666667,48.13333333333333,76.66666666666667,64.6,50.0,50.13333333333333,53.13333333333333,66.66666666666667,75.46666666666667,64.2,13.333333333333334,15.8,26.0,11.666666666666666,9.933333333333334,180.34,192.0,7878.0,right,low,medium,55,Normal,58,68.77777777777777,Yes,Yes
1585,25521,Pape Diakhate,1984-06-21 00:00:00,Granada CF,GRA,138799.5,138080.0,70.75,76.0,58.15,40.0,75.5,62.05,33.0,42.3,55.55,46.2,46.85,55.8,55.4,63.4,50.55,59.2,64.4,66.0,77.75,60.25,82.85,53.1,79.25,64.4,44.8,53.65,43.2,70.65,73.45,67.4,10.2,15.6,13.4,15.6,12.4,182.88,172.0,7878.0,right,low,medium,55,Normal,58,70.50000000000001,Yes,Yes
3461,30914,Ricardo Costa,1981-05-16 00:00:00,Granada CF,GRA,148351.5,20209.0,75.54545454545455,77.4090909090909,40.22727272727273,25.318181818181817,78.0,57.45454545454545,34.13636363636363,47.95454545454545,24.136363636363637,28.318181818181817,46.31818181818182,58.54545454545455,60.18181818181818,62.5,58.54545454545455,66.22727272727273,69.81818181818181,68.13636363636364,83.68181818181819,71.86363636363636,83.68181818181819,31.5,86.5909090909091,72.5909090909091,55.95454545454545,57.90909090909091,44.5,74.54545454545455,74.36363636363636,80.04545454545455,10.954545454545457,15.272727272727272,17.227272727272727,10.409090909090908,13.863636363636363,182.88,176.0,7878.0,right,low,high,55,Normal,58,76.31818181818181,Yes,Yes
5311,37470,David Cortes,1979-08-29 00:00:00,Granada CF,GRA,39111.5,146691.0,70.75,71.58333333333333,66.83333333333333,24.5,57.416666666666664,67.33333333333333,45.0,64.91666666666667,51.0,39.25,60.666666666666664,70.5,76.41666666666667,73.91666666666667,69.41666666666667,78.33333333333333,69.58333333333333,42.5,75.0,70.75,72.25,32.166666666666664,70.16666666666667,68.33333333333333,60.583333333333336,62.416666666666664,42.166666666666664,68.25,74.5,75.08333333333333,7.583333333333333,10.416666666666666,29.166666666666668,10.25,10.083333333333334,180.34,163.0,7878.0,right,high,low,55,Normal,58,72.6111111111111,Yes,Yes
8137,46407,Jean-Sylvain Babin,1986-10-14 00:00:00,Granada CF,GRA,79562.5,176693.0,68.95454545454545,71.5909090909091,34.81818181818182,19.318181818181817,73.04545454545455,61.27272727272727,23.818181818181817,29.09090909090909,45.81818181818182,56.04545454545455,51.27272727272727,49.5,49.81818181818182,58.22727272727273,39.68181818181818,53.95454545454545,52.95454545454545,81.13636363636364,88.36363636363636,81.68181818181819,91.0909090909091,55.54545454545455,69.95454545454545,66.0,46.68181818181818,54.36363636363637,37.36363636363637,59.09090909090909,76.0909090909091,63.22727272727273,14.136363636363637,8.954545454545455,15.136363636363637,7.136363636363637,6.2272727272727275,182.88,185.0,7878.0,right,high,medium,55,Normal,58,66.13636363636364,Yes,Yes
8344,49866,Manuel Iturra,1984-06-23 00:00:00,Granada CF,GRA,108931.0,176903.0,73.78947368421052,74.84210526315789,64.10526315789474,25.63157894736842,50.63157894736842,76.26315789473684,51.63157894736842,63.473684210526315,66.84210526315789,45.63157894736842,71.47368421052632,70.73684210526316,72.84210526315789,68.15789473684211,74.73684210526316,73.52631578947368,71.84210526315789,69.52631578947368,66.36842105263158,82.73684210526316,66.42105263157895,67.63157894736842,79.36842105263158,79.3157894736842,50.63157894736842,67.94736842105263,33.21052631578947,63.89473684210526,78.36842105263158,77.73684210526316,12.157894736842104,9.157894736842104,8.157894736842104,14.157894736842104,9.157894736842104,175.26,161.0,7878.0,left,medium,high,55,Normal,58,73.33333333333333,Yes,Yes
10228,108572,David Lomban,1987-06-05 00:00:00,Granada CF,GRA,39814.0,189701.0,68.0,71.6842105263158,42.21052631578947,47.8421052631579,66.47368421052632,63.73684210526316,42.78947368421053,46.36842105263158,62.31578947368421,65.3157894736842,67.47368421052632,58.63157894736842,54.21052631578947,56.0,54.89473684210526,64.84210526315789,52.68421052631579,73.63157894736842,65.6842105263158,75.47368421052632,77.05263157894737,48.0,72.26315789473684,70.15789473684211,41.526315789473685,52.31578947368421,53.73684210526316,65.10526315789474,72.0,62.68421052631579,5.7368421052631575,14.210526315789474,21.36842105263158,16.57894736842105,15.789473684210526,187.96,185.0,7878.0,right,medium,medium,55,Normal,58,66.59649122807018,Yes,Yes
10375,110331,Brayan Angulo,1989-11-02 00:00:00,Granada CF,GRA,23124.0,184035.0,65.73684210526316,72.57894736842105,68.10526315789474,49.0,42.526315789473685,58.526315789473685,24.0,64.73684210526316,49.78947368421053,44.8421052631579,58.526315789473685,64.26315789473684,81.84210526315789,78.89473684210526,70.0,65.15789473684211,73.0,70.52631578947368,80.36842105263158,81.78947368421052,76.42105263157895,55.05263157894737,65.73684210526316,61.21052631578947,46.89473684210526,56.0,38.05263157894737,62.1578947368421,67.21052631578948,72.26315789473684,9.31578947368421,10.736842105263158,18.73684210526316,15.473684210526317,8.368421052631579,172.72,159.0,7878.0,left,medium,medium,55,Normal,58,67.21052631578948,Yes,Yes
