league_name,country_name,team_long_name,favored,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,year,favored_cutoff
Belgium Jupiler League,Belgium,KRC Genk,146,45,Balanced,,Little,45,Mixed,Organised,50,Normal,35,Normal,60,Normal,Organised,70,High,65,Press,70,Wide,Cover,2010,101-200
Belgium Jupiler League,Belgium,KRC Genk,146,66,Balanced,,Little,52,Mixed,Organised,65,Normal,66,Normal,51,Normal,Organised,48,Medium,47,Press,54,Normal,Offside Trap,2011,101-200
Belgium Jupiler League,Belgium,KRC Genk,146,53,Balanced,,Little,55,Mixed,Organised,55,Normal,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover,2012,101-200
Belgium Jupiler League,Belgium,KRC Genk,146,58,Balanced,,Little,38,Mixed,Organised,67,Risky,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover,2013,101-200
Belgium Jupiler League,Belgium,KRC Genk,146,58,Balanced,52.0,Normal,38,Mixed,Organised,67,Risky,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover,2014,101-200
Belgium Jupiler League,Belgium,KRC Genk,146,58,Balanced,52.0,Normal,38,Mixed,Organised,30,Safe,69,Lots,56,Normal,Organised,36,Medium,57,Press,70,Wide,Cover,2015,101-200
Belgium Jupiler League,Belgium,Royal Excel Mouscron,14,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Royal Excel Mouscron,14,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Royal Excel Mouscron,12,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Royal Excel Mouscron,12,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Royal Excel Mouscron,12,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Royal Excel Mouscron,12,50,Balanced,50.0,Normal,50,Mixed,Organised,50,Normal,50,Normal,50,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,KV Oostende,26,52,Balanced,49.0,Normal,54,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,42,Medium,47,Press,44,Normal,Cover,2014,26-50
Belgium Jupiler League,Belgium,KV Oostende,26,52,Balanced,49.0,Normal,54,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,42,Medium,47,Press,44,Normal,Cover,2015,26-50
Belgium Jupiler League,Belgium,Waasland-Beveren,14,62,Balanced,,Little,53,Mixed,Organised,50,Normal,30,Little,54,Normal,Free Form,30,Deep,49,Press,35,Normal,Cover,2013,0-25
Belgium Jupiler League,Belgium,Waasland-Beveren,14,38,Balanced,45.0,Normal,39,Mixed,Organised,29,Safe,30,Little,39,Normal,Organised,25,Deep,37,Press,35,Normal,Cover,2014,0-25
Belgium Jupiler League,Belgium,Waasland-Beveren,14,38,Balanced,45.0,Normal,49,Mixed,Organised,45,Normal,42,Normal,53,Normal,Organised,27,Deep,32,Contain,35,Normal,Cover,2015,0-25
Belgium Jupiler League,Belgium,Oud-Heverlee Leuven,20,52,Balanced,,Little,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover,2012,0-25
Belgium Jupiler League,Belgium,Oud-Heverlee Leuven,20,52,Balanced,,Little,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover,2013,0-25
Belgium Jupiler League,Belgium,Oud-Heverlee Leuven,20,52,Balanced,51.0,Normal,50,Mixed,Organised,50,Normal,53,Normal,54,Normal,Organised,43,Medium,44,Press,50,Normal,Cover,2014,0-25
Belgium Jupiler League,Belgium,Lierse SK,31,48,Balanced,,Little,65,Mixed,Organised,55,Normal,45,Normal,50,Normal,Organised,46,Medium,48,Press,45,Normal,Cover,2011,26-50
Belgium Jupiler League,Belgium,Lierse SK,31,69,Fast,,Little,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,45,Medium,49,Press,65,Normal,Cover,2012,26-50
Belgium Jupiler League,Belgium,Lierse SK,31,69,Fast,,Little,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Free Form,38,Medium,49,Press,65,Normal,Cover,2013,26-50
Belgium Jupiler League,Belgium,Lierse SK,31,69,Fast,44.0,Normal,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,38,Medium,49,Press,65,Normal,Cover,2014,26-50
Belgium Jupiler League,Belgium,Lierse SK,31,69,Fast,44.0,Normal,58,Mixed,Organised,56,Normal,52,Normal,61,Normal,Organised,38,Medium,49,Press,65,Normal,Cover,2015,26-50
